,,,result,300,700,1100
1,Faith KIPYEGON,KEN,3:59.67,48.71,1:56.60 ,3:00.13 
2,Hellen OBIRI,KEN,4:00.46,48.92,1:56.99 ,3:00.47 
3,Laura MUIR,GBR,4:00.47,48.64,1:56.82 ,3:00.28 
4,Rababe ARAFI,MOR,4:01.75,48.88,1:57.07 ,3:00.66 
5,Gudaf TSEGAY,ETH,4:01.78,48.8,1:56.97 ,3:00.32 
6,Brenda MARTINEZ,USA,4:03.56,48.75,1:57.10 ,3:01.02 
7,Kate GRACE,USA,4:03.59,48.6,1:56.59 ,3:00.16 
8,Jenny SIMPSON,USA,4:04.16,49.13,1:56.80 ,3:00.80 
9,Shannon ROWBURY,USA,4:04.61,49.02,1:57.27 ,3:01.19 
10,Sofia ENNAOUI,POL,4:05.74,49.4,1:57.31 ,3:01.98 
11,Shelby HOULIHAN,USA,4:06.43,49.71,1:57.77 ,3:02.42 
