1 MUIR Laura,,,,,,,GBR,,,,3:58.49,,,,,,
15.4 (3) 31.5,,(4),47.2,(4),1:03.0,(4),1:18.9 (4),,1:34.8,(4),1:51.1 (4),2:07.5,(4),2:24.3,(4),2:41.4,(3)
2:57.7 (1) 3:13.3,,(1),3:28.4,(1),3:43.4,(1),,,,,,,,,,,
2 HOULIHAN Shelby,,,,,,,USA,,,,3:58.94,,0.45,,,,
15.7 (6) 32.0,,(8),48.1,(9),1:04.5,(9),1:20.4 (9),,1:36.9,(7),1:53.1 (6),2:09.3,(5),2:25.7,(5),2:42.2,(4)
2:58.3 (4) 3:13.8,,(4),3:29.0,(4),3:43.9,(2),,,,,,,,,,,
3 HASSAN Sifan,,,,,,,NED,,,,3:59.41,,0.92,,,,
15.8 (10) 31.3,,(3),46.9,(3),1:02.7,(3),1:18.5 (3),,1:34.6,(3),1:50.9 (3),2:07.2,(3),2:24.1,(3),2:41.2,(2)
2:58.0 (2) 3:13.5,,(2),3:28.7,(2),3:44.1,(3),,,,,,,,,,,
4 TSEGAY Gudaf,,,,,,,ETH,,,,3:59.68,,1.19,,,,
14.9 (2) 30.1,,(2),45.8,(2),1:01.6,(2),1:17.5 (2),,1:33.7,(2),1:50.2 (2),2:06.9,(2),2:23.8,(2),2:41.2,(1)
2:58.2 (3) 3:13.7,,(3),3:28.9,(3),3:44.3,(4),,,,,,,,,,,
5 EMBAYE Axumawit,,,,,,,ETH,,,,4:02.75,,4.26,,,,
15.8 (9) 32.4,,(12),47.9,(7),1:04.2,(7),1:20.2 (6),,1:36.7,(6),1:52.9 (5),2:09.8,(6),2:26.2,(6),2:43.2,(5)
2:59.6 (5) 3:15.4,,(5),3:30.9,(5),3:46.7,(5),,,,,,,,,,,
6 CHEBET Winny,,,,,,,KEN,,,,4:03.37,,4.88,,,,
7 ENNAOUI Sofia,,,,,,,POL,,,,4:03.49,,5.00,,,,
15.6 (5) 31.8,,(6),47.8,(6),1:04.0,(6),1:20.4 (8),,1:37.2,(10),1:53.6 (10),2:10.3,(11),2:27.1,(11),2:43.9,(10)
3:00.1 (8) 3:16.4,,(8),3:32.3,(7),3:48.4,(7),,,,,,,,,,,
8 ARAFI Rababe,,,,,,,MAR,,,,4:03.82,,5.33,,,,
15.8 (11) 32.2,,(10),48.3,(12),1:04.5,(8),1:20.6 (10),,1:37.1,(9),1:53.4 (9),2:10.0,(9),2:26.5,(8),2:43.4,(7)
2:59.9 (7) 3:16.3,,(7),3:32.0,(6),3:48.0,(6),,,,,,,,,,,
9 WEIGHTMAN Laura,,,,,,,GBR,,,,4:04.36,,5.87,,,,
16.1 (13) 32.5,,(13),48.5,(13),1:05.0,(12),1:20.9 (12),,1:37.6,(12),1:53.9 (12),2:10.2,(10),2:26.9,(10),2:43.5,(8)
3:00.2 (9) 3:16.6,,(9),3:32.6,(8),3:48.7,(8),,,,,,,,,,,
10 SIMPSON Jenny,,,,,,,USA,,,,4:04.57,,6.08,,,,
15.7 (7) 31.9,,(7),48.1,(8),1:04.7,(10),1:20.4 (7),,1:37.0,(8),1:53.4 (8),2:10.0,(8),2:26.4,(7),2:43.3,(6)
2:59.8 (6) 3:16.1,,(6),3:32.6,(9),3:49.0,(9),,,,,,,,,,,
11 VANDERELST Elise,,,,,,,BEL,,,,4:05.75,,7.26,PB,,,
15.8 (8) 32.0,,(9),48.2,(11),1:05.1,(13),1:21.2 (13),,1:37.7,(13),1:54.1 (13),2:10.6,(13),2:27.3,(13),2:44.1,(11)
3:00.8 (11) 3:16.9,,(10),3:33.1,(10),3:49.4,(10),,,,,,,,,,,
