1 TSEGAY Gudaf,ETH,3:57.64,MR PB
15.2,(3),30.0,(3),45.1,(3),1:00.7,(3),1:16.8,(3),1:33.1,(3),1:49.0,(3),2:05.4,(2),2:21.9,(2),2:38.3,(2
2:54.2,(2),3:09.9,(1),3:25.9,(1),3:41.9,(1),,,,,,,,,,,,
2 MUIR Laura,GBR,3:58.53,0.89,SB
15.5,(5),31.1,(6),46.5,(6),1:02.7,(6),1:19.3,(7),1:35.8,(7),1:52.2,(7),2:08.7,(6),2:25.0,(5),2:41.4,(5
2:56.8,(4),3:12.2,(3),3:27.9,(2),3:43.2,(2),,,,,,,,,,,,
3 ARAFI Rababe,MAR,4:00.28,2.64
15.5,(6),30.8,(5),46.1,(5),1:02.0,(5),1:18.5,(5),1:35.4,(5),1:51.9,(6),2:08.6,(5),2:25.2,(6),2:41.6,(6)
2:57.6,(6),3:13.4,(4),3:29.6,(5),3:45.1,(5),,,,,,,,,,,,
4 SIMPSON Jenny,USA,4:00.34,2.70
15.7,(7),31.3,(7),46.8,(8),1:03.3,(9),1:19.9,(9),1:36.1,(8),1:52.4,(8),2:09.0,(7),2:25.6,(8),2:42.1,(8)
2:58.0,(7),3:13.7,(5),3:29.5,(4),3:44.9,(4),,,,,,,,,,,,
5 JEPKOSGEI Nelly,KEN,4:01.95,4.31
15.4,(4),30.6,(4),45.5,(4),1:01.1,(4),1:17.3,(4),1:33.4,(4),1:49.3,(4),2:05.6,(3),2:22.2,(3),2:38.7,(3)
2:54.9,(3),3:11.5,(2),3:28.5,(3),3:44.9,(3),,,,,,,,,,,,
6 BAHTA Meraf,SWE,4:02.31,4.67
15.9,(10),31.6,(9),47.1,(11),1:03.7,(12),1:20.2,(11),1:36.4,(10),1:52.6,(9),2:09.2,(8),2:25.5,(7),2:42.0,(7
2:58.4,(8),3:14.3,(7),3:30.1,(6),3:46.2,(6),,,,,,,,,,,,
7 SADO Besu,ETH,4:02.81,5.17
16.0,(12),31.9,(12),46.9,(9),1:03.1,(8),1:19.1,(6),1:35.5,(6),1:51.6,(5),2:08.2,(4),2:24.9,(4),2:41.2,(4
2:57.3,(5),3:13.8,(6),3:30.4,(7),3:46.6,(7),,,,,,,,,,,,
8 HALL Linden,AUS,4:02.89,5.25
15.7,(8),31.7,(10),47.4,(12),1:03.6,(11),1:20.4,(12),1:37.0,(12),1:53.2,(13),2:09.9,(12),2:26.6,(11),2:43.2,(11)
2:59.7,(11),3:15.9,(10),3:31.9,(9),3:47.6,(9),,,,,,,,,,,,
9 WEIGHTMAN Laura,GBR,4:02.90,5.26,SB
16.1,(13),32.1,(13),47.6,(13),1:03.8,(13),1:20.4,(13),1:37.1,(13),1:53.2,(12),2:09.7,(11),2:26.3,(10),2:42.8,(10)
2:59.0,(10),3:15.0,(8),3:31.5,(8),3:47.3,(8),,,,,,,,,,,,
10 GRØVDAL Karoline Bjerkeli,NOR,4:05.57,7.93,PB
16.2,(14),32.2,(14),47.7,(14),1:04.0,(14),1:20.6,(14),1:37.2,(14),1:53.5,(14),2:10.1,(13),2:26.9,(13),2:43.4,(12)
2:59.9,(12),3:16.3,(11),3:33.1,(11),3:49.4,(11),,,,,,,,,,,,
