1,HASSAN Sifan,NED,4:00.60,16.2,32.6,48.9,1:05.6,1:21.3,1:37.1,1:52.9,2:09.0,2:26.0,2:42.8,2:58.9,3:15.0,3:31.3,3:46.5
2,TSEGAY Gudaf,ETH,4:01.03,15.4,31.2,47.4,1:03.5,1:19.9,1:36.0,1:52.4,2:08.7,2:25.8,2:42.6,2:58.7,3:14.9,3:31.3,3:46.7
3,ENNAOUI Sofia,POL,4:02.06,16.2,32.9,48.4,1:05.3,1:21.5,1:38.0,1:54.3,2:10.8,2:26.7,2:43.6,2:59.7,3:15.5,3:31.7,3:47.1
4,EMBAYE Axumawit,ETH,4:02.44,16,32.1,48.1,1:04.7,1:20.9,1:37.5,1:53.8,2:10.2,2:26.5,2:43.2,2:59.1,3:15.2,3:31.5,3:46.9
5,McDONALD Sarah,GBR,4:03.17,15.8,32.2,48.5,1:05.2,1:21.4,1:37.9,1:54.2,2:10.7,2:27.3,2:44.2,3:00.6,3:16.7,3:32.6,3:48.0
6,CHEBET Winny,KEN,4:03.64,15.7,31.9,48,1:04.4,1:20.6,1:37.0,1:53.3,2:09.8,2:26.9,2:43.9,3:00.0,3:16.3,3:32.2,3:48.0
7,PEN FREITAS Marta,POR,4:03.99,16,32.5,48.6,1:05.4,1:21.7,1:38.2,1:54.4,2:10.9,2:27.0,2:43.7,3:00.2,3:15.7,3:32.1,3:48.1
8,GRACE Kate,USA,4:04.64,15.6,31.9,48.2,1:04.9,1:21.1,1:37.7,1:53.9,2:10.5,2:27.1,2:44.2,3:00.4,3:17.0,3:33.2,3:48.9
9,MAGEEAN Ciara,IRL,4:06.13,15.8,32.3,48.4,1:05.0,1:21.2,1:37.7,1:54.0,2:10.5,2:27.1,2:44.0,3:00.4,3:16.5,3:32.8,3:49.0
10,SAMUEL Alemaz,ETH,4:07.47,15.5,31.4,47.5,1:03.7,1:20.1,1:36.3,1:52.6,2:09.1,2:26.3,2:43.2,2:59.6,3:16.2,3:32.8,3:50.5
