1,DIBABA Genzebe,ETH,rabat dl,2019,3:55.47,15.2,30.3,46.1,1:02.3,1:18.5,1:34.5,1:50.0,2:05.2,2:21.0,2:36.7,2:52.3,3:07.8,3:23.8,3:39.7,3:55.47
2,HASSAN Sifan,NED,rabat dl,2019,3:55.93,16.1,32,46.8,1:02.8,1:19.2,1:34.9,1:50.4,2:05.7,2:21.4,2:37.1,2:52.7,3:08.4,3:24.0,3:39.7,3:55.93
3,TSEGAY Gudaf,ETH,rabat dl,2019,3:57.40,15.3,30.6,46.3,1:02.5,1:18.7,1:34.7,1:50.3,2:05.5,2:21.2,2:36.9,2:52.5,3:08.6,3:25.0,3:41.5,3:57.40
4,ARAFI Rababe,MAR,rabat dl,2019,3:58.84,15.9,31.8,47.3,1:03.7,1:20.1,1:36.3,1:52.1,2:07.9,2:24.1,2:40.2,2:56.1,3:11.6,3:27.6,3:43.5,3:58.84
5,EMBAYE Axumawit,ETH,rabat dl,2019,3:59.02,15.6,31,46.9,1:03.0,1:19.4,1:35.2,1:50.8,2:06.3,2:22.5,2:38.8,2:55.2,3:11.1,3:27.2,3:43.2,3:59.02
7,SIMPSON Jenny,USA,rabat dl,2019,3:59.83,15.5,31.2,47.2,1:03.4,1:19.4,1:35.5,1:51.4,2:07.4,2:23.6,2:39.6,2:55.8,3:11.3,3:27.4,3:43.3,3:59.83
8,DEBUES-STAFFORD Gabriela,CAN,rabat dl,2019,4:00.46,16,32.2,47.8,1:04.0,1:20.4,1:36.9,1:52.9,2:08.7,2:24.8,2:40.9,2:56.7,3:12.6,3:28.6,3:44.4,4:00.46
9,McCOLGAN Eilish,GBR,rabat dl,2019,4:00.97,16.4,32.4,48,1:04.0,1:20.2,1:36.6,1:52.5,2:08.4,2:24.6,2:40.8,2:57.1,3:13.1,3:29.4,3:45.0,4:00.97
10,McDONALD Sarah,GBR,rabat dl,2019,4:01.50,16.2,32.4,48,1:04.2,1:20.6,1:37.1,1:53.3,2:09.2,2:25.5,2:41.7,2:58.1,3:13.8,3:29.9,3:45.9,4:01.50
11,HAILU Lemlem,ETH,rabat dl,2019,4:02.97,16.4,31.8,46.6,1:02.7,1:19.0,1:35.0,1:51.2,2:06.9,2:22.9,2:39.2,2:55.9,3:12.3,3:29.0,3:45.8,4:02.97
