1,ARAFI Rababe,MAR,shanghai dl,2019,4:01.15,15.5,32.3,49.1,1:05.8,1:22.0,1:38.2,1:54.4,2:11.0,2:27.6,2:43.8,3:00.2,3:16.1,3:31.3,3:46.3,4:01.15
2,TSEGAY Gudaf,ETH,shanghai dl,2019,4:01.25,15.1,32.2,49,1:05.8,1:21.4,1:37.4,1:53.5,2:10.0,2:26.5,2:43.3,2:59.8,3:15.7,3:31.1,3:46.4,4:01.25
3,NANYONDO Winnie,UGA,shanghai dl,2019,4:01.39,15.2,32.3,49.1,1:06.0,1:22.1,1:38.3,1:54.3,2:10.8,2:27.3,2:43.7,3:00.3,3:16.3,3:31.5,3:46.6,4:01.39
4,SEYAUM Dawit,ETH,shanghai dl,2019,4:01.40,16.2,33.3,50.4,1:07.1,1:23.3,1:39.5,1:55.6,2:12.0,2:27.9,2:44.1,2:59.9,3:15.9,3:31.1,3:46.2,4:01.40
5,HASSAN Sifan,NED,shanghai dl,2019,4:01.91,16.3,33.1,50.1,1:06.9,1:23.1,1:39.2,1:55.3,2:11.7,2:27.7,2:43.8,2:59.9,3:15.9,3:31.4,3:46.5,4:01.91
6,EMBAYE Axumawit,ETH,shanghai dl,2019,4:01.95,15.7,32.4,49.4,1:06.5,1:22.3,1:38.6,1:54.8,2:11.2,2:27.9,2:44.1,3:00.6,3:16.3,3:31.5,3:46.8,4:01.95
7,CHEBET Winny,KEN,shanghai dl,2019,4:02.94,15.5,32.6,49.4,1:06.2,1:22.4,1:38.8,1:54.9,2:11.5,2:27.9,2:44.3,3:00.4,3:16.5,3:32.0,3:47.2,4:02.94
8,SAMUEL Alemaz,ETH,shanghai dl,2019,4:03.79,16,32.6,49.2,1:06.3,1:21.9,1:38.0,1:53.7,2:10.3,2:27.0,2:43.6,3:00.1,3:16.2,3:31.7,3:48.2,4:03.79
9,EFRAIMSON Alexa,USA,shanghai dl,2019,4:04.53,15.7,32.7,49.7,1:06.4,1:22.5,1:38.9,1:55.1,2:11.7,2:28.1,2:44.2,3:00.3,3:16.7,3:32.1,3:48.0,4:04.53
10,JEPKOSGEI Nelly,KEN,shanghai dl,2019,4:05.07,15.3,32.4,49.2,1:06.0,1:22.1,1:38.1,1:54.1,2:10.6,2:27.2,2:43.6,3:00.1,3:16.0,3:31.5,3:48.0,4:05.07
